_TgvXeXV1Z8	2021-09-03	L	Trailer	
5570	c2	Cascade	c3	Colada	2
5730	c2	Stiletto	c3	Pumps	1
5870	c2	Tequila	c3	Ultra	2
6007	c2	Femme Fatale	c3	Resin	2
6414	c2	Lotus	c2	Banshee	1
6584	c2	Black Beauty	c2	Ivy	1
6823	c2	Velvet	c2	Carbon	1
7501	c1	Vanity	c3	Thunderbird	2
7705	c1	Voodoo	c3	Harlem	2
7951	c1	Xenon	c3	Mirage	1
8085	c1	Anomaly	c3	Tattoo	2
8265	c2	Amazon	c3	Legacy	1
8497	c2	Temperance	c3	Thunderbird	1
8711	c2	Nova	c3	Majesty	2
8932	c2	Lotus	c3	Infinity	2
9156	c2	Lotus	c3	Vanity	1
9483	c2	Ivy	c2	Lithium	1
9611	c2	Vixen	c2	Black Beauty	2
9808	c2	Voodoo	c2	Mannequin	2
9980	c2	Insomnia	c2	Infinity	1
10199	c2	Cosma	c2	Belladonna	1

kxSlQrEc9K0	2021-10-10	N		
20	c2	Lotus	c1	Heroin	1
254	c2	Shadow	c1	Roulette	2
503	c2	Riveter	c1	Vixen	1
748	c2	Enigma	c1	Infinity	1
982	c2	Enigma	c1	Resin	1

nJMHkIDV9tI	2021-10-09	L	Tournament|BCN Battles	
283	c3	Velvet	c3	Colada	1
399	c3	Anomaly	c3	Legacy	1
750	c2	Heroin	c2	T-Back	1
840	c2	Carbon	c2	Geisha	2
1036	c2	Tequila	c2	Geisha	1
1139	c2	Cosma	c2	Lolita	1
1514	c2	Calypso	c3	Ivy	1
1687	c2	Minx	c3	Calypso	1
1826	c2	Half Pint	c3	Majesty	2
1934	c2	Cougar	c3	Lithium	2
2092	c2	Anomaly	c3	Cascade	1
2426	c3	Rogue	c3	Nightmare	1
2527	c3	Vanity	c3	Tattoo	2
2642	c3	Vanity	c3	Tequila	2
2859	c3	Enchantress	c3	Temperance	2
3214	c1	Mademoiselle	c3	Thunderbird	1
3321	c1	Shadow	c3	Beretta	1
3445	c1	Nightmare	c3	Ultra	1
3728	c2	Countess	c3	Tattoo	1
3834	c2	Wicked	c3	Ivy	1
3935	c2	Voodoo	c3	Colada	1
4242	c2	Belladonna	c3	Mirage	1
4417	c2	Shadow	c3	Ivy	1
4502	c2	Terror	c3	Legacy	1
4755	c1	Roulette	c2	Countess	2
4956	c1	Widow	c2	Lithium	2
5065	c1	Ultra	c2	Black Beauty	2
5387	c3	Mirage	c3	Banshee	1
5563	c3	Lithium	c3	Mademoiselle	2
5702	c3	Black Beauty	c3	Tequila	2
5805	c3	Terror	c3	Malice	2
6097	c3	Belladonna	c3	Velvet	1
6202	c3	Ultra	c3	Mirage	2
6359	c3	Infinity	c3	Xenon	2
6563	c3	Riveter	c3	Lolita	2
6938	c1	Lolita	c3	Tattoo	2
7054	c1	Xenon	c3	Velvet	2
7156	c1	Firecracker	c3	Mademoiselle	2
7453	c3	Rogue	c3	Ivy	1
7599	c3	Enchantress	c3	Lotus	2
7707	c3	Vanity	c3	Anomaly	2
7927	c3	Goddess	c3	Pumps	2
8171	c2	Femme Fatale	c2	Black Beauty	1
8300	c2	Temperance	c2	Firecracker	2
8459	c2	Belladonna	c2	Beretta	1
8574	c2	Colada	c2	Mademoiselle	2
8665	c2	Xenon	c2	Wicked	2
9020	c3	Resin	c3	Cougar	2
9194	c3	Ultra	c3	Countess	2
9355	c3	Calypso	c3	Raven	2
9623	c2	Siren	c3	Femme Fatale	1
9764	c2	Temperance	c3	Wicked	1
9975	c2	Enigma	c3	Temperance	1
10270	c2	Mademoiselle	c2	Goddess	1
10408	c2	Siren	c2	Shadow	1
10552	c2	Cascade	c2	Temperance	1

MH2pioWKlso	2021-09-30	N		
1	c1	Tattoo	c1	Geisha	1
96	c1	Pumps	c1	Harlem	1
224	c1	Widow	c1	Calypso	1
318	c1	Harlem	c1	Infinity	2
530	c1	Raven	c1	Velvet	1
627	c1	T-Back	c1	Temperance	1
709	c1	Calypso	c1	Half Pint	1

JZQd2ZUXfLg	2021-10-09	L	Tournament|Twilight Promenade	
1508	c2	Heroin	c1	Cougar	2
1694	c2	Terror	c1	Riveter	1
1873	c2	Thunderbird	c1	Amazon	2
2494	c2	Riveter	c3	Goddess	1
2643	c2	Beretta	c3	Riveter	1
2971	c2	Nightmare	c3	Xenon	2
3089	c2	Majesty	c3	Ultra	2
3395	c3	Stiletto	c3	Mirage	2
3538	c3	Calypso	c3	Mademoiselle	1
3701	c3	Tattoo	c3	Riveter	1
3961	c1	Mannequin	c1	Lithium	2
4072	c1	Harlem	c1	Banshee	2
4424	c1	Ultra	c1	Xenon	1
4572	c1	Pumps	c1	Banshee	2
4742	c1	Pumps	c1	Femme Fatale	2
5082	c2	Lotus	c3	Mannequin	2
5211	c2	Velvet	c3	Lolita	2
5631	c3	Thunderbird	c3	Vixen	2
5733	c3	Harlem	c3	T-Back	1
5869	c3	Beretta	c3	Legacy	2
6209	c2	Cascade	c3	Harlem	2
6472	c2	Enchantress	c3	Black Beauty	2
6870	c1	Firecracker	c2	Half Pint	2
7032	c1	Countess	c2	Terror	1
7163	c1	Geisha	c2	Lolita	1
7376	c3	Cougar	c3	Lithium	2
7601	c3	Vixen	c3	Cosma	1
7695	c3	Heroin	c3	Amazon	1
8048	c1	Rogue	c3	Minx	2
8219	c1	Calypso	c3	Velvet	1
8343	c1	Riveter	c3	Velvet	1
8632	c1	Riveter	c3	Mirage	2
8781	c1	Cascade	c3	Lithium	2
9124	c1	Roulette	c3	Firecracker	1
9309	c1	Calypso	c3	Insomnia	2
9429	c1	Colada	c3	Vanity	1
9744	c1	Calypso	c3	Insomnia	2
9952	c1	Resin	c3	Minx	1
10169	c1	Banshee	c3	Malice	2
10543	c3	Stiletto	c1	Carbon	1
10700	c3	Mirage	c1	Siren	1
11114	c1	Cosma	c3	Widow	2
11276	c1	Geisha	c3	Shadow	2
11419	c1	Roulette	c3	Rogue	2
11664	c1	Ivy	c3	Half Pint	2
11876	c1	Colada	c3	Terror	1
12011	c1	Beretta	c3	Black Beauty	1
12232	c1	Enchantress	c3	Mirage	2
12406	c1	Rogue	c3	Siren	1
12738	c1	Lolita	c3	Goddess	2
12882	c1	Shadow	c3	Siren	2
12986	c1	Mannequin	c3	Velvet	2

rRFqe_LMrpg	2021-10-09	N	Tournament|Team Spooky	
17	c2	Malice	c3	Ultra	1
147	c2	Vixen	c3	Vanity	1
372	c3	Vanity	c2	Carbon	2
496	c3	Pumps	c2	Calypso	1
636	c3	Mannequin	c2	Raven	2
901	c3	Terror	c2	Nightmare	1
1047	c3	Temperance	c2	Velvet	1
1440	c1	Insomnia	c3	Colada	2
1535	c1	Pumps	c3	Countess	1
1687	c1	Riveter	c3	Vanity	2
1924	c3	Harlem	c2	Vanity	2
2048	c3	Countess	c2	Siren	2
2282	c3	Banshee	c3	Xenon	1
2410	c3	Half Pint	c3	Xenon	1
2627	c3	Mademoiselle	c2	Amazon	1
2850	c3	Cascade	c2	Nightmare	1
3170	c2	Raven	c2	Ivy	2
3292	c2	Pumps	c2	Calypso	2
4028	c2	Enigma	c2	Rogue	2
4128	c2	Terror	c2	Anomaly	1
4329	c2	Widow	c2	Ivy	2

LXwmmitHS-Y	2021-10-09	N	Tournament|Team Spooky	
16	c2	Banshee	c3	Geisha	1
254	c2	Widow	c3	Insomnia	2
493	c2	Enigma	c3	Beretta	1
906	c2	Nightmare	c3	T-Back	2
994	c2	Nightmare	c3	Majesty	2
1206	c2	Ultra	c3	Thunderbird	1
1395	c2	Black Beauty	c3	Banshee	2
1553	c2	Wicked	c3	Widow	2
1714	c2	Temperance	c3	Raven	2
1855	c2	Majesty	c3	Vanity	2
2173	c3	Thunderbird	c2	Legacy	1
2352	c3	Roulette	c2	Amazon	2
2525	c3	Amazon	c2	Vixen	2

3VwvDOB_cw4	2021-10-10	N	Tournament|Awakening the Moon	
643	c2	Insomnia	c1	Malice	1
818	c2	Enigma	c1	Siren	1
1064	c3	Ultra	c3	Shadow	1
1260	c3	Lithium	c3	Nightmare	1
1820	c1	Pumps	c2	Mirage	1
2004	c1	Cougar	c2	Ivy	2
2140	c1	Belladonna	c2	Minx	2
2338	c1	Tattoo	c3	Geisha	1
2454	c1	Terror	c3	Tattoo	1
3186	c1	Riveter	c3	Colada	1
3453	c1	Half Pint	c3	Infinity	2
3642	c1	Banshee	c3	Temperance	1
3892	c3	Cascade	c3	Enchantress	1
4057	c3	Nova	c3	Harlem	1
4363	c1	Velvet	c3	Femme Fatale	1
4509	c1	Countess	c3	Majesty	1
4778	c2	Anomaly	c2	Geisha	1
4946	c2	Minx	c2	Geisha	2
5167	c2	Minx	c2	Cascade	1
5511	c1	Mannequin	c3	Velvet	2
5685	c1	Enchantress	c3	Goddess	1
5811	c1	Lolita	c3	Infinity	1
6089	c2	Carbon	c2	Lolita	1
6269	c2	Rogue	c2	Insomnia	1
6658	c1	Banshee	c2	Countess	1
6781	c1	Siren	c2	Cascade	1
7108	c1	Belladonna	c2	Beretta	1
7312	c1	Majesty	c2	Roulette	2
7457	c1	Femme Fatale	c2	Ultra	1
7775	c2	Harlem	c1	Lolita	1
7896	c2	Nightmare	c1	Anomaly	1
8140	c3	Xenon	c1	Countess	2
8287	c3	Xenon	c1	Lotus	1
8585	c3	Mirage	c1	Colada	1
8901	c2	Resin	c1	Enchantress	2
9007	c2	Riveter	c1	Raven	2
9159	c2	Widow	c1	Enigma	2
9892	c3	Beretta	c2	Wicked	1
10045	c3	Xenon	c2	Mannequin	1
10327	c3	Cosma	c2	Amazon	1
10472	c3	Tequila	c2	Velvet	1
10683	c3	Mirage	c2	Tequila	1
10865	c3	Heroin	c1	Shadow	2
10996	c3	Cascade	c1	Enigma	2
11141	c3	Insomnia	c1	Vanity	2

KmZl4LaPQ6s	2021-10-08	L		
23	c3	Femme Fatale	c1	Roulette	1
117	c3	Lolita	c1	Majesty	2
231	c3	Half Pint	c1	Resin	1
430	c3	Beretta	c1	Stiletto	1
574	c3	Lotus	c1	Resin	2
726	c3	Velvet	c1	Insomnia	1
913	c3	Wicked	c1	Vixen	2
1089	c3	Enigma	c1	Heroin	1
1309	c3	Raven	c1	Riveter	2
1472	c3	Cougar	c1	Widow	1
1593	c3	Velvet	c1	Lotus	2
1778	c3	Cosma	c1	Goddess	2
1909	c3	Mademoiselle	c1	Lotus	1
2129	c3	Tequila	c1	Velvet	1
2320	c3	Anomaly	c1	Enigma	2
2527	c3	Carbon	c1	Stiletto	1
2686	c3	Cascade	c1	Xenon	1
2868	c3	Carbon	c1	Insomnia	1
3057	c3	Carbon	c1	Rogue	2

5H6fyvdZ4fo	2021-10-09	N	Tournament|Team Spooky|Top 8	
19	c3	Femme Fatale	c3	Black Beauty	1
204	c3	Goddess	c3	T-Back	2
314	c3	Shadow	c3	Pumps	2
555	c2	Goddess	c3	Tequila	2
718	c2	Siren	c3	Mademoiselle	2
1216	c2	Lolita	c1	Terror	1
1374	c2	Ivy	c1	Colada	2
1511	c2	Infinity	c1	Half Pint	1
1813	c2	Tequila	c3	Roulette	2
1914	c2	Widow	c3	Goddess	2
2329	c2	Siren	c2	Lolita	2
2480	c2	Goddess	c2	Pumps	2
2719	c3	Widow	c3	Voodoo	2
2818	c3	Goddess	c3	Infinity	1
2963	c3	Belladonna	c3	Goddess	2
3725	c3	Geisha	c3	Femme Fatale	2
3925	c3	Harlem	c3	Legacy	1
4442	c2	Geisha	c3	Countess	1
4582	c2	Stiletto	c3	Mademoiselle	2
4789	c2	Femme Fatale	c3	Firecracker	1
5159	c2	Nova	c3	Lithium	1
5289	c2	Wicked	c3	Riveter	1
5477	c2	Enigma	c3	Carbon	1
5783	c2	Siren	c3	Raven	1
5933	c2	Harlem	c3	Rogue	1
6041	c2	Enchantress	c3	Malice	2
6211	c2	Anomaly	c3	Thunderbird	2
6346	c2	Xenon	c3	Cougar	2

WKEbQdmLB7g	2021-10-11	N	Tournament|Monday Night Mashfest|Top 8	
22	c2	Temperance	c1	Beretta	1
153	c2	Widow	c1	Majesty	2
340	c2	Raven	c1	Resin	2
568	c2	Nova	c1	Mannequin	1
727	c2	Pumps	c1	Mademoiselle	2
941	c2	Banshee	c1	Temperance	1
1056	c2	Enchantress	c1	Resin	1
1258	c2	Minx	c1	Carbon	2
1461	c2	Mademoiselle	c1	Minx	2
1733	c2	Calypso	c1	Resin	2

1rkMvPB2thU	2021-10-12	N		
22	c2	Anomaly	c2	Voodoo	1

5hUJn6RiAqU	2021-10-12	N		
20	c3	Calypso	c3	Rogue	2

xW6KCB8YIH8	2021-10-11	N		
19	c1	Velvet	c2	Legacy	2

Kx2qYGho8Ms	2021-10-11	N		
19	c1	Lotus	c1	Raven	2

RcnL8eK0IBM	2021-10-11	N		
19	c1	Amazon	c1	Tattoo	2

2TkcVwwtaNc	2021-10-05	N	Tournament|Hat-Trick	
107	c2	Terror	c1	Infinity	2
215	c2	Nova	c1	Insomnia	2
756	c1	Lolita	c2	Stiletto	1
854	c1	Raven	c2	Widow	1
1097	c1	Infinity	c1	Colada	2
1201	c1	Temperance	c1	Countess	2
1401	c3	Carbon	c2	Widow	1
1598	c3	Rogue	c2	Thunderbird	2
1730	c3	Cougar	c2	Lithium	1
1933	c1	Black Beauty	c1	Banshee	2
2032	c1	Majesty	c1	Anomaly	1
2180	c1	Cosma	c1	Raven	1
2397	c1	Vixen	c2	Insomnia	2
2558	c1	Nova	c2	Harlem	2
2789	c2	Vanity	c2	Mannequin	1
2909	c2	Enchantress	c2	Goddess	2
3104	c2	Legacy	c2	T-Back	2
3510	c1	Ivy	c1	Tequila	1
3721	c1	Widow	c1	Ultra	2
3897	c1	Firecracker	c1	Wicked	2
4121	c2	Xenon	c1	Lithium	1
4263	c2	Riveter	c1	Infinity	2
4404	c2	Mirage	c1	Tattoo	2
4679	c2	Thunderbird	c1	Vanity	2
4887	c2	Banshee	c1	Rogue	1
5126	c2	Firecracker	c1	Harlem	1
5318	c2	Cascade	c2	Heroin	2
5453	c2	Widow	c2	Ultra	2
5974	c1	Countess	c1	Geisha	2
6166	c1	Pumps	c1	Mirage	1
6370	c1	Vixen	c1	Raven	2
6496	c1	Vanity	c1	Cosma	2
6704	c1	Cosma	c2	Enchantress	2
6796	c1	Countess	c2	T-Back	2
6962	c1	Mademoiselle	c2	Cosma	2

DnREO7yxLTw	2021-09-30	N		
6	c3	Ivy	c3	Cougar	1
117	c3	Xenon	c3	Majesty	1
232	c3	Harlem	c3	Temperance	1
375	c3	Nova	c3	Resin	1

IZi5wctPFgA	2021-10-13	N	Tournament	::ffff:93.133.26.225
252	c3	Mirage	c3	Harlem	2

xwfon_lVutw	2021-10-11	N		
19	c3	Vanity	c2	Colada	1

ZhRD2oNR6s8	2021-10-11	N		
20	c1	Enigma	c3	Pumps	2

YtGu631uW7Y	2021-10-11	N		
24	c3	Terror	c1	Tequila	2

txcVO7PwQDw	2021-10-11	N		
19	c2	Mannequin	c3	Heroin	2

aEORKBsJp4Y	2021-10-10	N		
19	c3	Minx	c1	Enchantress	2

paFDYQs5f0w	2021-10-11	N	Tournament|Monday Night Mashfest	
416	c1	Cascade	c3	Raven	1
604	c1	Vixen	c3	Mannequin	2
815	c1	Pumps	c3	Carbon	2
1151	c1	Belladonna	c1	Mademoiselle	1
1359	c1	Banshee	c1	Cougar	2
1647	c1	Banshee	c1	Enigma	2
1842	c2	Heroin	c2	Voodoo	1
1957	c2	Carbon	c2	Mirage	1
2247	c1	Cascade	c1	Calypso	2
2511	c1	Goddess	c1	Nightmare	2
2890	c1	Voodoo	c2	Insomnia	2
2998	c1	Enigma	c2	Half Pint	2
3220	c2	T-Back	c3	Roulette	2
3388	c2	Temperance	c3	Ivy	2
3610	c1	Geisha	c2	Beretta	2
3735	c1	Heroin	c2	Nightmare	2
3969	c2	Stiletto	c1	Tequila	1
4046	c2	Vixen	c1	Lithium	1
4969	c2	Lotus	c2	Voodoo	1
5165	c2	Enigma	c2	Calypso	1
5444	c3	Insomnia	c1	Cosma	2
5593	c3	Mademoiselle	c1	Enchantress	2
6001	c2	Black Beauty	c1	Nightmare	1
6160	c2	Malice	c1	Black Beauty	2
6338	c2	Legacy	c1	Resin	2
6708	c3	Countess	c1	Tequila	1
6939	c3	Mirage	c1	Cosma	2
7055	c3	Calypso	c1	Rogue	2
7325	c2	Ultra	c1	Colada	2
7453	c2	Mirage	c1	Femme Fatale	2
7714	c3	Amazon	c1	Enigma	2
7858	c3	Black Beauty	c1	Banshee	1
7974	c3	Widow	c1	Ivy	2
8228	c2	Widow	c1	Countess	1
8388	c2	Lithium	c1	Cougar	2
8578	c2	T-Back	c1	Colada	2
8743	c2	Insomnia	c1	Mademoiselle	1
8895	c2	Insomnia	c1	Femme Fatale	1
9138	c1	Geisha	c1	Infinity	1
9274	c1	Cougar	c1	Amazon	1
9561	c1	Goddess	c1	Voodoo	2
9717	c1	Enigma	c1	Carbon	2
9882	c1	Ivy	c1	Femme Fatale	1
9994	c1	Shadow	c1	Terror	2

_1665OJiDyQ	2021-10-10	N		
21	c2	Lolita	c2	Widow	2

q-m-davaT2s	2021-10-10	N		
19	c2	Widow	c2	Siren	1

llDxjj-VG3E	2021-10-09	N		
21	c1	Mirage	c2	Amazon	1

hON0Y7OAhZ0	2021-10-10	N		
21	c1	Calypso	c1	Amazon	2

TCEc7W_J3cA	2021-10-10	N		
20	c3	Shadow	c2	Vanity	2

XiTAUns6IoU	2021-10-08	N		
21	c3	Shadow	c3	Harlem	2

sebDB3f7QBo	2021-10-08	N		
19	c3	Goddess	c1	Pumps	1

mOlzXg4FMk4	2021-10-08	N		
20	c2	Mannequin	c1	Half Pint	1

0wLgmM9MuqQ	2021-10-09	N		
20	c2	Cascade	c3	Banshee	1

BnlhJJ0ej_M	2021-10-08	N		
18	c1	Femme Fatale	c2	Malice	2

VNya5893v_M	2021-10-07	N		
20	c1	Infinity	c1	Nightmare	1

ipFdpMnhKt0	2021-10-08	N		
19	c2	Tequila	c3	Goddess	2

Zik6WzFmSUw	2021-10-07	N		
19	c1	Riveter	c2	Lithium	1

f8ZTNiaKjVQ	2021-10-07	N		
19	c2	Riveter	c2	Majesty	1

6v1b4fExnw4	2021-10-07	N		
20	c2	Cascade	c1	Majesty	1

M4K-QD7_UVY	2021-10-06	N		
25	c1	Wicked	c3	Resin	2

1Zy01b9jwq0	2021-10-06	N		
18	c3	Calypso	c1	Insomnia	1

z4aFd8d7IwU	2021-10-05	N		
18	c3	Ultra	c3	Riveter	1

bHE2PcZxjxk	2021-10-07	N	Tournament	
87	c3	Firecracker	c2	Goddess	2
305	c3	Temperance	c2	Lithium	2
534	c2	Terror	c2	T-Back	2
665	c2	Colada	c2	Roulette	2
883	c1	Nova	c2	Wicked	2
1004	c1	Legacy	c2	Countess	2
1143	c1	Infinity	c2	Nightmare	1
1297	c1	Roulette	c2	Resin	1
1489	c2	Nova	c3	Countess	2
1658	c2	Terror	c3	Mademoiselle	2

GADbRZm9IAk	2021-10-11	L	Tournament|The Pinnacle|Top 8	
15	c1	Cascade	c3	Geisha	1
182	c1	Majesty	c3	Geisha	2
338	c1	Siren	c3	Mirage	2
724	c1	Goddess	c3	Nova	1
801	c1	Riveter	c3	Amazon	1
1044	c1	Calypso	c3	Cosma	2
1241	c1	Thunderbird	c3	Insomnia	1
1477	c1	Black Beauty	c3	Firecracker	1
1815	c1	Voodoo	c1	Amazon	1
2020	c1	Femme Fatale	c1	Pumps	1
2298	c1	Minx	c3	Rogue	1
2491	c1	Ultra	c3	Resin	1
2786	c1	Nova	c1	Lolita	1
3052	c1	Malice	c1	Riveter	1
3320	c1	Roulette	c3	Heroin	2
3425	c1	Malice	c3	Goddess	1
3557	c1	Harlem	c3	Mannequin	2
3822	c3	Ultra	c1	Minx	1
4108	c3	Colada	c1	Resin	2
4328	c3	Beretta	c1	Legacy	1
4605	c1	Enigma	c3	Rogue	1
4697	c1	Half Pint	c3	Ivy	2
4841	c1	Ivy	c3	Belladonna	1
5095	c1	Calypso	c1	Colada	2
5203	c1	Shadow	c1	Pumps	2
5389	c1	Ivy	c1	Goddess	2
5686	c3	Carbon	c1	Vixen	2
5824	c3	Harlem	c1	Insomnia	1
6026	c3	Tequila	c1	Enchantress	2
6223	c1	Mannequin	c1	Carbon	2
6365	c1	Beretta	c1	Temperance	1
6477	c1	Cougar	c1	Thunderbird	1
6599	c1	T-Back	c1	Tequila	1
6772	c1	Mademoiselle	c1	Voodoo	1
6903	c1	Mademoiselle	c1	Belladonna	2
6977	c1	Widow	c1	Legacy	2
7088	c1	Harlem	c1	T-Back	2

QqV8UqmHtFg	2021-10-04	N	Tournament|Melting Point	
27	c1	Enigma	c2	Half Pint	1
197	c1	Insomnia	c2	Pumps	1
487	c2	T-Back	c2	Banshee	2
605	c2	Cosma	c2	Temperance	1
719	c2	Tequila	c2	Calypso	1
1120	c3	Stiletto	c1	Enigma	1
1226	c3	Rogue	c1	Enchantress	1
1499	c1	Nova	c1	Thunderbird	2
1708	c1	Countess	c1	Ultra	2
1960	c3	Cougar	c2	Carbon	1
2191	c3	Lithium	c2	Calypso	2
2396	c3	Heroin	c2	Carbon	2
2830	c1	Mannequin	c2	Stiletto	2
3020	c1	Insomnia	c2	Xenon	1
3196	c1	Resin	c2	Mannequin	2
3436	c2	Banshee	c1	Terror	2
3531	c2	Harlem	c1	Enigma	2
3873	c3	Harlem	c2	Roulette	1
3997	c3	Cougar	c2	Black Beauty	1
4235	c1	Harlem	c1	Minx	1
4381	c1	Temperance	c1	Cougar	1

0hE0_YEf_UQ	2021-10-06	N	Tournament|Melting Point|Top 4	
22	c2	Harlem	c2	Legacy	1
148	c2	Geisha	c2	Nova	1
282	c2	Voodoo	c2	Rogue	2
380	c2	Tattoo	c2	Banshee	2
493	c2	Legacy	c2	Ivy	2
721	c3	Enigma	c1	Majesty	1
854	c3	Lolita	c1	Widow	2
978	c3	Siren	c1	Half Pint	1
1246	c3	Majesty	c2	Minx	1
1354	c3	Infinity	c2	Voodoo	2
1531	c3	Nightmare	c2	Malice	1
1773	c3	Amazon	c2	Rogue	1
1968	c3	Beretta	c2	Thunderbird	1
2122	c3	Vanity	c2	Minx	1
2287	c3	Calypso	c2	Femme Fatale	2
2440	c3	Wicked	c2	Mannequin	2
2559	c3	Banshee	c2	Cosma	1
2681	c3	Roulette	c2	Widow	1
2902	c3	Colada	c2	Widow	2
3087	c3	Enchantress	c2	Minx	1
3287	c3	Ultra	c2	Half Pint	2
3537	c3	Firecracker	c2	Goddess	1

VGUktY9SZBA	2021-10-11	N	Tournament|Melting Point	
28	c3	Nightmare	c3	Tequila	1
182	c3	Tequila	c3	Rogue	1
307	c1	Resin	c3	Cougar	2
506	c1	Mannequin	c3	Ultra	2
635	c1	Mannequin	c2	T-Back	2
862	c1	Beretta	c2	Goddess	2
1000	c2	Mirage	c2	Stiletto	1
1224	c2	Minx	c2	Mirage	2
1451	c2	Raven	c2	T-Back	2
1593	c3	Siren	c1	Anomaly	2
1750	c3	Vanity	c1	Cougar	2
1929	c2	Femme Fatale	c1	Heroin	1
2056	c2	Belladonna	c1	Terror	1
2192	c3	Nova	c1	Banshee	1
2366	c3	T-Back	c1	Xenon	1

Vb1PtYRp2lA	2021-10-11	N	Tournament|Melting Point|Top 4	
2	c1	Firecracker	c2	Voodoo	2
153	c1	Roulette	c2	Tequila	2
312	c1	Vixen	c2	Raven	2
427	c2	Velvet	c3	Lithium	1
575	c2	Riveter	c3	Calypso	1
744	c2	Riveter	c1	Roulette	1
869	c2	Banshee	c1	Lithium	1
1030	c2	Temperance	c1	Cosma	2
1187	c2	Calypso	c1	Countess	1
1340	c2	Malice	c2	Siren	1
1551	c2	Infinity	c2	Siren	2
1724	c2	Mademoiselle	c2	Siren	2
1837	c2	Vixen	c2	Minx	2

pZe0iVNWUuA	2021-10-09	N	Tournament|2BCU	
951	c3	Terror	c2	Rogue	1
1082	c3	Mirage	c2	Velvet	1
1298	c3	Nightmare	c1	Lithium	2
1411	c3	Cascade	c1	Widow	2
1693	c1	Amazon	c2	Countess	2
1807	c1	Velvet	c2	Minx	1
2043	c1	Shadow	c2	Majesty	1
2376	c1	Belladonna	c1	Black Beauty	1
2522	c1	Mirage	c1	Belladonna	2
2640	c1	Temperance	c1	Lotus	2
3204	c3	Vanity	c3	Insomnia	1
3372	c3	Countess	c3	Black Beauty	1
3963	c3	Velvet	c2	Cosma	2
4132	c3	Roulette	c2	Mademoiselle	2
4388	c3	Amazon	c1	Banshee	2
4558	c3	Voodoo	c1	Shadow	2
4891	c3	Belladonna	c3	Resin	2
5051	c3	Tattoo	c3	Vixen	2
5359	c3	Calypso	c1	Legacy	1
5502	c3	Thunderbird	c1	Mirage	2
5642	c3	Voodoo	c1	Vanity	2
5956	c1	Geisha	c3	Anomaly	2
6125	c1	Velvet	c3	Mirage	1
6397	c1	Voodoo	c3	Goddess	1
6691	c2	Enchantress	c1	Amazon	2
6882	c2	Enchantress	c1	Femme Fatale	2
7014	c2	Widow	c1	Insomnia	2
7267	c2	Colada	c1	Insomnia	2
7400	c2	Mannequin	c1	Geisha	2
7581	c2	Cougar	c1	Banshee	2
7801	c1	Lotus	c1	Nova	1
7933	c1	Legacy	c1	Heroin	2
8071	c1	Raven	c1	Stiletto	1
8199	c1	Heroin	c1	Voodoo	2
8395	c1	Malice	c1	Voodoo	1

2Uyamn3DcPc	2021-10-14	L	Tournament|Top 8	
1	c3	Tequila	c3	Rogue	1
94	c3	Goddess	c3	Countess	1
250	c3	Malice	c3	Harlem	1

Y5Egv34Wbx8	2021-10-15	N	Tournament|PNW Airdashers	
9	c3	Temperance	c3	Vixen	1
138	c3	Ivy	c3	Infinity	1

zqEh4v7aaK0	2021-10-15	N	Tournament|PNW Airdashers	
8	c3	Majesty	c2	Colada	1
107	c3	Pumps	c2	Vixen	1

lBxr8Lvjch8	2021-10-15	N	Tournament|PNW Airdashers	
6	c3	Cosma	c2	Vanity	2
159	c3	T-Back	c2	Temperance	2

jZMoPn-S14s	2021-10-15	N	Tournament|PNW Airdashers	
7	c3	Ivy	c3	Velvet	2
117	c3	Black Beauty	c3	Lithium	1
301	c3	T-Back	c3	Femme Fatale	1
417	c3	Femme Fatale	c3	Lolita	2
589	c3	T-Back	c3	Widow	2

CVGwfMThO1M	2021-10-15	N	Tournament|PNW Airdashers	
6	c3	Infinity	c2	Nightmare	2
136	c3	Calypso	c2	Goddess	2

4HozLaZmYms	2021-10-15	N	Tournament|PNW Airdashers	
13	c3	Terror	c2	Tattoo	1
234	c3	Banshee	c2	Majesty	2
347	c3	Wicked	c2	Raven	2
527	c3	Temperance	c2	Nightmare	2

5Bl_WI3SPns	2021-10-15	N	Tournament|PNW Airdashers	
4	c3	Wicked	c2	Geisha	1
154	c3	Lotus	c2	Enigma	1

n_OW94YDY2k	2021-10-17	N		
1923	c2	Cougar	c1	Belladonna	2
2039	c2	Wicked	c1	Mademoiselle	1
2243	c1	Femme Fatale	c2	Lotus	2
2342	c1	Ultra	c2	Vanity	2
2559	c1	Thunderbird	c3	Rogue	2
2694	c1	Calypso	c3	Rogue	2
2944	c1	Legacy	c2	Majesty	2
3163	c1	Lithium	c2	Carbon	2
3317	c1	Wicked	c2	Velvet	2
3473	c1	Raven	c1	Cascade	2
3636	c2	Lolita	c1	Shadow	1

3qJk0Il5jjA	2021-10-17	N	Tournament|GibzFGC	
717	c3	Cosma	c2	Velvet	2
849	c3	Goddess	c2	Terror	2
1465	c3	Stiletto	c1	Half Pint	2
1620	c3	Rogue	c1	Banshee	2
2144	c3	Cosma	c3	Roulette	2
2365	c3	Enigma	c3	Insomnia	2
2667	c1	Heroin	c3	Widow	2
